query_id,query_text,execution_time_ms,status,documents_returned,timestamp
31,"db.energy_readings.aggregate([ { $unwind: """"$appliance_usages"""" },{ $group: {_id: """"$appliance_usages.appliance_id"""", total:{ $sum: """"$appliance_usages.usage_kwh"""" }}},{ $sort: { total: -1 } },{ $limi...",72,success,1000,2025-05-31T22:07:27Z
32,"db.energy_readings.aggregate([{$lookup:{from:""""contracts"""",localField:""""contract_id"""",foreignField:""""id"""",as:""""contract_info""""}},{$unwind:""""$contract_info""""},{$group:{_id:""""$contract_info.tariff_id"""",...",108,success,1000,2025-05-31T22:07:27Z
33,"db.weather_conditions.aggregate([{ $bucket: { groupBy: """"$temperature_celsius"""", boundaries: [0, 10, 20, 30, 40], default: """"out_of_range"""", output: { count: { $sum: 1 }, avg_humidity: { $avg: """"$humi...",40,success,1000,2025-05-31T22:07:27Z
34,"db.users.aggregate([{$lookup:{from:""""houses"""",localField:""""_id"""",foreignField:""""owner_id"""",as:""""houses""""}},{$project:{name:1,email:1,houses:1}},{$limit:10}])",35,success,1000,2025-05-31T22:07:27Z
35,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""logs""""}},{$unwind:{path:""""$logs"""",preserveNullAndEmptyArrays:true}},{$group:{_id:""""$id...",7,success,100,2025-05-31T22:07:27Z
36,"db.energy_readings.aggregate([{$facet:{top_usage:[{$sort:{total_use_kwh:-1}},{$limit:5}],low_generation:[{$match:{generation_kwh:{$lt:0.5}}},{$count:""""count""""}]}}])",66,success,1000,2025-05-31T22:07:27Z
37,"db.energy_readings.aggregate([{ $unwind: """"$appliance_usages"""" }, { $lookup: { from: """"appliances"""", localField: """"appliance_usages.appliance_id"""", foreignField: """"id"""", as: """"appliance_info"""" } }, { ...",72,success,1000,2025-05-31T22:07:27Z
38,"db.houses.aggregate([{$lookup:{from:""""contracts"""",localField:""""id"""",foreignField:""""house_id"""",as:""""contracts""""}},{$unwind:""""$contracts""""},{$lookup:{from:""""tariffs"""",localField:""""contracts.tariff_id"""",...",30,success,1000,2025-05-31T22:07:27Z
39,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{rolling_avg:{$avg:""""$total_use_kwh"""",window:{range:[-2,0],unit:""""day""""}}}}},{$limit:10}])",79,success,1000,2025-05-31T22:07:27Z
40,"db.houses.aggregate([{$graphLookup:{from:""""houses"""",startWith:""""$city"""",connectFromField:""""city"""",connectToField:""""city"""",as:""""connected_houses""""}},{$limit:5}])",39,success,1000,2025-05-31T22:07:27Z
41,"db.energy_readings.aggregate([{$densify:{field:""""timestamp"""",range:{step:1,unit:""""hour"""",bounds:""""full""""}}},{$sort:{timestamp:1}},{$fill:{sortBy:{timestamp:1},output:{total_use_kwh:{method:""""linear""""}...",106,success,1000,2025-05-31T22:07:28Z
42,"db.energy_readings.aggregate([{$group:{_id:{month:{$dateTrunc:{date:""""$timestamp"""",unit:""""month""""}}},gen_total:{$sum:""""$generation_kwh""""}}}])",75,success,1000,2025-05-31T22:07:28Z
43,"db.tariffs.aggregate([{$graphLookup:{from:""""tariffs"""",startWith:""""$billing_model"""",connectFromField:""""billing_model"""",connectToField:""""billing_model"""",as:""""related_tariffs""""}},{$limit:10}])",6,success,20,2025-05-31T22:07:28Z
44,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total:{$sum:""""$total_use_kwh""""}}},{$sort:{total:-1}},{$limit:5},{$project:{id:""""$_id"""",total:1,_id:0}}])",72,success,1000,2025-05-31T22:07:28Z
45,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{prev:{$shift:{output:""""$total_use_kwh"""",by:-1}},delta:{$derivative:{input:""""$total_use_kwh"""",uni...",72,success,1000,2025-05-31T22:07:28Z
46,"db.alerts.aggregate([{ $lookup: { from: """"weather_conditions"""", let: { alert_ts: """"$timestamp"""" }, pipeline: [ { $match: { $expr: { $and: [ { $gte: [""""$timestamp"""", { $subtract: [""""$$alert_ts"""", 1000 ...",43,success,1000,2025-05-31T22:07:28Z
47,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2022-04-01T00:00:00Z""""),$lt:ISODate(""""2025-05-01T00:00:00Z"""")},total_use_kwh:{$exists:true,$ne:null},house_id:{$exists:true,$ne:null}}}...",67,success,1000,2025-05-31T22:07:28Z
48,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{variation:{$derivative:{input:""""$total_use_kwh"""",unit:""""day""""},window:{documents:[-1,0]}}}}},{$g...",67,success,1000,2025-05-31T22:07:28Z
49,"db.energy_readings.aggregate([{$unwind:""""$appliance_usages""""},{$group:{_id:{house_id:""""$house_id"""",appliance_id:""""$appliance_usages.appliance_id""""},appliance_total:{$sum:""""$appliance_usages.usage_kwh""...",70,success,1000,2025-05-31T22:07:28Z
50,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$match:{total_use_kwh:{$gt:6},""""weather.tempe...",74,success,1000,2025-05-31T22:07:28Z
51,"db.energy_readings.aggregate([{ $lookup: { from: """"weather_conditions"""", let: { wid: """"$weather_id"""" }, pipeline: [ { $match: { $expr: { $eq: [""""$id"""", """"$$wid""""] } } } ], as: """"weather"""" } }, { $matc...",68,success,1000,2025-05-31T22:07:28Z
52,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-04-01T00:00:00Z""""),$lt:ISODate(""""2025-05-01T00:00:00Z"""")},total_use_kwh:{$gt:7}}},{$group:{_id:""""$house_id"""",high_events:{$sum:1},...",65,success,1000,2025-05-31T22:07:28Z
53,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",gen_total:{$sum:""""$generation_kwh""""},use_total:{$sum:""""$total_use_kwh""""}}},{$project:{efficiency_score:{$divide:[""""$gen_total"""",""""$use_total""""]...",67,success,1000,2025-05-31T22:07:28Z
54,"db.energy_readings.aggregate([{$match:{timestamp:{$exists:true},total_use_kwh:{$exists:true,$ne:null,$gt:0}}},{$addFields:{hour:{$hour:""""$timestamp""""}}},{$group:{_id:""""$house_id"""",total_evening:{$sum:...",69,success,1000,2025-05-31T22:07:28Z
55,"db.maintenance_logs.aggregate([{$group:{_id:""""$appliance_id"""",interventions:{$sum:1},total_cost:{$sum:""""$cost""""}}},{$sort:{interventions:-1}},{$limit:5}])",35,success,1000,2025-05-31T22:07:28Z
56,"db.maintenance_logs.aggregate([{$group:{_id:{appliance_id:""""$appliance_id"""",name:""""$name""""},total_cost:{$sum:""""$cost""""},count:{$sum:1}}},{$project:{_id:0,appliance_id:""""$_id.appliance_id"""",name:""""$_id...",34,success,1000,2025-05-31T22:07:28Z
57,"db.maintenance_logs.aggregate([{$match:{date:{$gte:ISODate(""""2024-01-01T00:00:00Z""""),$lt:ISODate(""""2025-01-01T00:00:00Z"""")}}},{$lookup:{from:""""appliances"""",localField:""""appliance_id"""",foreignField:""""i...",35,success,1000,2025-05-31T22:07:29Z
58,"db.energy_readings.aggregate([{$unwind:""""$appliance_usages""""},{$group:{_id:""""$appliance_usages.appliance_id"""",total_use:{$sum:""""$appliance_usages.usage_kwh""""}}},{$sort:{total_use:-1}},{$limit:5}])",70,success,1000,2025-05-31T22:07:29Z
59,"db.maintenance_logs.aggregate([{$group:{_id:""""$appliance_id"""",total_cost:{$sum:""""$cost""""}}},{$lookup:{from:""""energy_readings"""",pipeline:[{$unwind:""""$appliance_usages""""},{$match:{""""appliance_usages.app...",30,success,1000,2025-05-31T22:07:29Z
60,"db.energy_readings.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{$unwind:""""$house""""},{$group:{_id:""""$house.city"""",total_use:{$sum:""""$total_use_kwh""""...",70,success,1000,2025-05-31T22:07:29Z
61,"db.energy_readings.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{$unwind:""""$house""""},{$group:{_id:""""$house._id"""",total_use:{$sum:""""$total_use_kwh""""}...",72,success,1000,2025-05-31T22:07:29Z
62,"db.appliances.aggregate([{$match:{house_id:{$ne:null}}},{$group:{_id:""""$house_id"""",count:{$sum:1}}},{$sort:{count:-1}},{$limit:10}])",7,success,100,2025-05-31T22:07:29Z
63,"db.energy_readings.aggregate([{$unwind:""""$appliance_usages""""},{$group:{_id:{house_id:""""$house_id"""",appliance_id:""""$appliance_usages.appliance_id""""},usage_total:{$sum:""""$appliance_usages.usage_kwh""""}}}...",65,success,1000,2025-05-31T22:07:29Z
64,"db.houses.aggregate([{$bucket:{groupBy:""""$area_sqm"""",boundaries:[0,50,100,150,200,250],default:""""250+"""",output:{count:{$sum:1},avg_built_year:{$avg:""""$built_year""""}}}}])",26,success,1000,2025-05-31T22:07:29Z
65,"db.contracts.aggregate([{$lookup:{from:""""tariffs"""",localField:""""tariff_id"""",foreignField:""""id"""",as:""""tariff""""}},{$unwind:""""$tariff""""},{$group:{_id:""""$tariff.billing_model"""",house_count:{$sum:1}}}])",33,success,1000,2025-05-31T22:07:29Z
66,"db.contracts.aggregate([{$match:{start_date:{$gte:ISODate(""""2023-02-05T00:00:00Z"""")}}},{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""id"""",as:""""house""""}},{$unwind:""""$house""""},{$proje...",34,success,1000,2025-05-31T22:07:29Z
67,"db.energy_readings.aggregate([{$lookup:{from:""""contracts"""",localField:""""contract_id"""",foreignField:""""_id"""",as:""""contract""""}},{$unwind:""""$contract""""},{$group:{_id:""""$contract.tariff_id"""",total_use:{$su...",67,success,1000,2025-05-31T22:07:29Z
68,"db.contracts.aggregate([{$group:{_id:""""$supplier_id"""",house_count:{$sum:1}}},{$match:{house_count:{$gt:3}}}])",32,success,1000,2025-05-31T22:07:29Z
69,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""_id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$bucket:{groupBy:""""$weather.temperature_cels...",72,success,1000,2025-05-31T22:07:29Z
70,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$match:{""""weather.temperature_celsius"""":{$lt:...",62,success,1000,2025-05-31T22:07:29Z
71,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""_id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$match:{""""weather.temperature_celsius"""":{$gt...",66,success,1000,2025-05-31T22:07:29Z
72,"db.houses.aggregate([{$group:{_id:""""$user_id"""",house_count:{$sum:1}}},{$match:{house_count:{$gt:1}}},{$lookup:{from:""""users"""",localField:""""_id"""",foreignField:""""id"""",as:""""user_info""""}},{$unwind:""""$user...",27,success,1000,2025-05-31T22:07:29Z
73,"db.energy_readings.aggregate([{$addFields:{hour:{$hour:""""$timestamp""""}}},{$match:{$or:[{hour:{$gte:22}},{hour:{$lt:6}}]}},{$group:{_id:""""$house_id"""",night_use:{$sum:""""$total_use_kwh""""}}},{$sort:{night...",66,success,1000,2025-05-31T22:07:29Z
74,"db.energy_readings.aggregate([{$group:{_id:{house_id:""""$house_id"""",month:{$dateTrunc:{date:""""$timestamp"""",unit:""""month""""}}},total_use:{$sum:""""$total_use_kwh""""}}},{$sort:{""""_id.house_id"""":1,""""_id.month...",68,success,1000,2025-05-31T22:07:29Z
75,"db.energy_readings.aggregate([{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""id"""",as:""""weather""""}},{$unwind:""""$weather""""},{$bucket:{groupBy:""""$weather.temperature_celsi...",86,success,1000,2025-05-31T22:07:29Z
76,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{gen_diff:{$derivative:{input:""""$generation_kwh"""",unit:""""day""""},window:{documents:[-1,0]}}}}},{$m...",64,success,1000,2025-05-31T22:07:30Z
77,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""_id"""",foreignField:""""appliance_id"""",as:""""logs""""}},{$lookup:{from:""""energy_readings"""",pipeline:[{$unwind:""""$appliance_usages""""}...",9,success,100,2025-05-31T22:07:30Z
78,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""logs""""}},{$addFields:{total_cost:{$reduce:{input:""""$logs"""",initialValue:0,in:{$add:[""""...",6,success,100,2025-05-31T22:07:30Z
79,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",gen:{$sum:""""$generation_kwh""""},use:{$sum:""""$total_use_kwh""""}}},{$project:{house_id:""""$_id"""",efficiency:{$cond:[{$eq:[""""$use"""",0]},0,{$divide:[""...",65,success,1000,2025-05-31T22:07:30Z
80,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{gen_diff:{$derivative:{input:""""$generation_kwh"""",unit:""""day""""},window:{documents:[-1,0]}},use_st...",64,success,1000,2025-05-31T22:07:30Z
81,"db.energy_readings.aggregate([{ $group: { _id: """"$house_id"""", total_use: { $sum: """"$total_use_kwh"""" } } }, { $sort: { total_use: -1 } }])",64,success,1000,2025-05-31T22:07:30Z
82,"db.houses.aggregate([{ $lookup: { from: """"contracts"""", localField: """"id"""", foreignField: """"house_id"""", as: """"contract"""" } }, { $unwind: """"$contract"""" }, { $group: { _id: """"$contract.supplier_id"""", hou...",28,success,1000,2025-05-31T22:07:30Z
83,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total_use:{$sum:""""$total_use_kwh""""},total_gen:{$sum:""""$generation_kwh""""}}},{$project:{total_use:1,total_gen:1,gen_to_use_ratio:{$cond:[{$gt:[""""...",69,success,1000,2025-05-31T22:07:30Z
84,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{avg_use:{$avg:""""$total_use_kwh""""}}}},{$match:{$expr:{$gt:[""""$total_use_kwh"""",{$multiply:[""""$avg_...",68,success,1000,2025-05-31T22:07:30Z
85,"db.energy_readings.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{$unwind:""""$house""""},{$group:{_id:""""$house._id"""",built_year:{$first:""""$house.built_y...",77,success,1000,2025-05-31T22:07:30Z
86,"db.energy_readings.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{$unwind:""""$house""""},{$group:{_id:""""$house.city"""",city_avg:{$avg:""""$total_use_kwh""""}...",116,success,1000,2025-05-31T22:07:30Z
87,"db.energy_readings.aggregate([{$unwind:""""$appliance_usages""""},{$group:{_id:""""$house_id"""",appliance_count:{$addToSet:""""$appliance_usages.appliance_id""""},total_gen:{$sum:""""$generation_kwh""""}}},{$project...",75,success,1000,2025-05-31T22:07:30Z
88,"db.energy_readings.aggregate([{$addFields:{hour:{$hour:""""$timestamp""""}}},{$group:{_id:""""$house_id"""",morning:{$sum:{$cond:[{$and:[{$gte:[""""$hour"""",6]},{$lt:[""""$hour"""",12]}]},""""$total_use_kwh"""",0]}},eve...",66,success,1000,2025-05-31T22:07:30Z
89,"db.maintenance_logs.aggregate([{$project:{appliance_id:1,quarter:{$ceil:{$divide:[{$month:""""$date""""},3]}},year:{$year:""""$date""""}}},{$group:{_id:{appliance_id:""""$appliance_id"""",year:""""$year"""",quarter:""...",30,success,1000,2025-05-31T22:07:30Z
90,"db.energy_readings.aggregate([{ $group: { _id: """"$house_id"""", total_use: { $sum: """"$total_use_kwh"""" }, total_gen: { $sum: """"$generation_kwh"""" } } }, { $project: { total_use: 1, total_gen: 1, ratio: { ...",70,success,1000,2025-05-31T22:07:30Z
91,"db.energy_readings.aggregate([{$addFields:{hour:{$hour:""""$timestamp""""}}},{$group:{_id:""""$hour"""",total_use:{$sum:""""$total_use_kwh""""}}},{$sort:{total_use:-1}},{$limit:3}])",67,success,1000,2025-05-31T22:07:30Z
92,"db.energy_readings.aggregate([{$sample:{size:100000}},{$lookup:{from:""""contracts"""",localField:""""contract_id"""",foreignField:""""id"""",as:""""contract""""}},{$unwind:""""$contract""""},{$group:{_id:""""$contract.tar...",67,success,1000,2025-05-31T22:07:31Z
93,"db.energy_readings.aggregate([{$addFields:{weekday:{$dayOfWeek:""""$timestamp""""}}},{$group:{_id:""""$weekday"""",avg_use:{$avg:""""$total_use_kwh""""}}},{$sort:{_id:1}}])",63,success,1000,2025-05-31T22:07:31Z
94,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total_gen:{$sum:""""$generation_kwh""""},total_use:{$sum:""""$total_use_kwh""""}}},{$project:{solar_ratio:{$divide:[""""$total_gen"""",""""$total_use""""]}}},{...",68,success,1000,2025-05-31T22:07:31Z
95,"db.energy_readings.aggregate([{$group: {_id: null, min: {$min: """"$total_use_kwh""""}, max: {$max: """"$total_use_kwh""""}, avg: {$avg:""""$total_use_kwh""""}}}])",76,success,1000,2025-05-31T22:07:31Z
96,"db.energy_readings.aggregate([{$group:{_id:""""$house_id"""",total:{$sum:""""$total_use_kwh""""}}},{$sort:{total:-1}},{$limit:5},{$project:{id:""""$_id"""",total:1,_id:0}},{$out:""""top_consumers""""}])",68,success,1000,2025-05-31T22:07:31Z
97,db.maintenance_logs.findOne({appliance_id: {$exists: true}}),5,success,1,2025-05-31T22:07:31Z
98,db.appliances.findOne({id: {$exists: true}}),3,success,1,2025-05-31T22:07:31Z
99,"db.maintenance_logs.findOne({date: {$gte: ISODate(""""2024-01-01T00:00:00Z""""), $lt: ISODate(""""2025-01-01T00:00:00Z"""")}})",4,success,1,2025-05-31T22:07:31Z
100,"db.energy_readings.aggregate([{ $match: { house_id: 1481, timestamp: { $gte: ISODate(""""2025-04-16T00:00:00Z"""") } } }, { $group: { _id: """"$house_id"""", total_consumption: { $sum: """"$total_use_kwh"""" } } ...",65,success,1000,2025-05-31T22:07:31Z
101,"db.energy_readings.aggregate([{ $match: { house_id: 1481, timestamp: { $gte: ISODate(""""2025-04-16T00:00:00Z"""") } } }, { $group: { _id: """"$house_id"""", total_consumption: { $sum: """"$total_use_kwh"""" } } ...",64,success,1000,2025-05-31T22:07:31Z
102,"db.maintenance_logs.aggregate([{ $match: { date: { $gte: ISODate(""""2024-01-01T00:00:00Z""""), $lt: ISODate(""""2025-01-01T00:00:00Z"""") } } }, { $lookup: { from: """"appliances"""", localField: """"appliance_id""...",31,success,1000,2025-05-31T22:07:31Z
103,"db.energy_readings.aggregate([{ $group: { _id: """"$contract_id"""", total_use: { $sum: """"$total_use_kwh"""" } } }, { $sort: { total_use: -1 } }])",72,success,1000,2025-05-31T22:07:31Z
104,"db.energy_readings.aggregate([{ $group: { _id: null, max_total_use: { $max: """"$total_use_kwh"""" }, max_total_gen: { $max: """"$generation_kwh"""" } } }])",67,success,1000,2025-05-31T22:07:31Z
105,"db.energy_readings.aggregate([{ $group: { _id: """"$house_id"""", total_use: { $sum: """"$total_use_kwh"""" } } }, { $match: { total_use: { $gt: 1000 } } }, { $sort: { total_use: -1 } }])",71,success,1000,2025-05-31T22:07:31Z
106,"db.energy_readings.aggregate([{ $unwind: """"$appliance_usages"""" }, { $group: { _id: """"$appliance_usages.appliance_id"""", total_usage: { $sum: """"$appliance_usages.usage_kwh"""" } } }, { $sort: { total_usag...",69,success,1000,2025-05-31T22:07:31Z
107,db.energy_readings.find({ total_use_kwh: { $gt: 6 } }).limit(100),12,success,100,2025-05-31T22:07:31Z
108,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-01-01T00:00:00Z""""),$lt:ISODate(""""2025-01-01T00:00:00Z"""")}}},{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id""""...",63,success,1000,2025-05-31T22:07:31Z
109,"db.houses.aggregate([{$match:{built_year:{$gte:2010}}},{$lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house_id"""",as:""""readings""""}},{$project:{address:1,city:1,area_sqm:1,readings...",29,success,1000,2025-05-31T22:07:31Z
110,"db.appliances.aggregate([{$lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""maintenance""""}},{$lookup:{from:""""energy_readings"""",let:{app_id:""""$id""""},pipeline:[{$un...",8,success,100,2025-05-31T22:07:31Z
111,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-01-01"""")}}},{$addFields:{hour:{$hour:""""$timestamp""""},day:{$dayOfWeek:""""$timestamp""""},month:{$month:""""$timestamp""""}}},{$facet:{hour...",66,success,1000,2025-05-31T22:07:31Z
112,"db.contracts.aggregate([{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""id"""",as:""""house""""}},{$unwind:""""$house""""},{$lookup:{from:""""tariffs"""",localField:""""tariff_id"""",foreignField:""""id""...",36,success,1000,2025-05-31T22:07:31Z
113,"db.energy_readings.aggregate([{$setWindowFields:{partitionBy:""""$house_id"""",sortBy:{timestamp:1},output:{moving_avg:{$avg:""""$total_use_kwh"""",window:{documents:[-3,""""current""""]}},usage_change:{$derivati...",68,success,1000,2025-05-31T22:07:32Z
114,"db.energy_readings.aggregate([{match:{timestamp:{ gte :ISODate(""""2023-01-01""""),$lt:ISODate(""""2024-01-01"""")}}},{lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""_id"""",as:""""w...",63,success,1000,2025-05-31T22:07:32Z
115,"db.houses.aggregate([{lookup:{from:""""users"""",localField:""""owner_id"""",foreignField:""""_id"""",as:""""owner""""}},{ unwind:""""owner""""},{ lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house_...",29,success,1000,2025-05-31T22:07:32Z
116,"db.contracts.aggregate([{match:{start_date:{ lte :ISODate(""""2023-01-01"""")}}},{lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{ unwind:""""house""""},{ lookup:{from:""""t...",34,success,1000,2025-05-31T22:07:32Z
117,"db.appliances.aggregate([{match:{type:{ in:[""""refrigerator"""",""""hvac"""",""""water_heater"""",""""washing_machine""""]}}},{lookup:{from:""""maintenance_logs"""",localField:""""id"""",foreignField:""""appliance_id"""",as:""""m...",8,success,100,2025-05-31T22:07:32Z
118,"db.energy_readings.aggregate([{$match:{timestamp:{$gte:ISODate(""""2023-01-01""""),$lt:ISODate(""""2024-01-01"""")}}},{$lookup:{from:""""weather_conditions"""",localField:""""weather_id"""",foreignField:""""_id"""",as:""""...",69,success,1000,2025-05-31T22:07:32Z
119,"db.houses.aggregate([{$lookup:{from:""""users"""",localField:""""user_id"""",foreignField:""""_id"""",as:""""owner""""}},{$unwind:""""$owner""""},{$lookup:{from:""""energy_readings"""",localField:""""_id"""",foreignField:""""house...",29,success,1000,2025-05-31T22:07:32Z
120,"db.contracts.aggregate([{$match:{start_date:{$lte:ISODate(""""2023-01-01"""")}}},{$lookup:{from:""""houses"""",localField:""""house_id"""",foreignField:""""_id"""",as:""""house""""}},{$unwind:""""$house""""},{$lookup:{from:""...",34,success,1000,2025-05-31T22:07:32Z
